Contrat;Tarif;Date;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;D;2021-04-27;48,49;R;9;R
0123456789;D;2021-04-26;52,25;R;4;R
0123456789;D;2021-04-25;38,94;R;10;R
0123456789;D;2021-04-24;71,88;R;13;R
0123456789;D;2021-04-23;70,39;R;9;R
0123456789;D;2021-04-22;63,82;R;1;R
0123456789;D;2021-04-21;57,94;R;0;R
0123456789;D;2021-04-20;32,17;R;8;R
0123456789;D;2021-04-19;35,40;R;12;R
0123456789;D;2021-04-18;49,17;R;9;R
0123456789;D;2021-04-17;50,18;R;6;R
0123456789;D;2021-04-16;53,97;R;5;R
0123456789;D;2021-04-15;41,71;R;7;R
0123456789;D;2021-04-14;31,89;R;12;R
0123456789;D;2021-04-13;41,08;R;13;R
0123456789;D;2021-04-12;27,10;R;12;R
0123456789;D;2021-04-11;39,98;R;12;R
0123456789;D;2021-04-10;21,85;R;16;R
0123456789;D;2021-04-09;24,51;R;16;R
0123456789;D;2021-04-08;32,35;R;14;R
0123456789;D;2021-04-07;39,37;R;11;R
0123456789;D;2021-04-06;60,48;R;9;R
0123456789;D;2021-04-05;128,13;R;9;R
0123456789;D;2021-04-04;54,71;R;7;R
0123456789;D;2021-04-03;82,47;R;3;R
0123456789;D;2021-04-02;73,82;R;-2;R
0123456789;D;2021-04-01;48,93;R;0;R
0123456789;D;2021-03-31;42,87;R;9;R
0123456789;D;2021-03-30;79,48;R;8;R
0123456789;D;2021-03-29;48,24;R;1;R
0123456789;D;2021-03-28;70,80;R;6;R
0123456789;D;2021-03-27;65,45;R;3;R
0123456789;D;2021-03-26;33,80;R;7;R
0123456789;D;2021-03-25;41,28;R;14;R
0123456789;D;2021-03-24;37,13;R;9;R
0123456789;D;2021-03-23;38,89;R;10;R
0123456789;D;2021-03-22;42,81;R;8;R
0123456789;D;2021-03-21;61,76;R;6;R
0123456789;D;2021-03-20;99,38;R;3;R
0123456789;D;2021-03-19;83,70;R;-5;R
0123456789;D;2021-03-18;48,47;R;2;R
0123456789;D;2021-03-17;68,58;R;2;R
0123456789;D;2021-03-16;87,38;R;-5;R
0123456789;D;2021-03-15;95,53;R;-11;R
0123456789;D;2021-03-14;80,62;R;-5;R
0123456789;D;2021-03-13;74,69;R;-4;R
0123456789;D;2021-03-12;45,60;R;3;R
0123456789;D;2021-03-11;52,16;R;8;R
0123456789;D;2021-03-10;60,13;R;3;R
0123456789;D;2021-03-09;85,89;R;0;R
0123456789;D;2021-03-08;85,92;R;-7;R
0123456789;D;2021-03-07;88,53;R;-8;R
0123456789;D;2021-03-06;102,12;R;-9;R
0123456789;D;2021-03-05;135,90;R;-10;R
0123456789;D;2021-03-04;89,87;R;-7;R
0123456789;D;2021-03-03;93,29;R;-4;R
0123456789;D;2021-03-02;109,04;R;-13;R
0123456789;D;2021-03-01;64,84;R;-1;R
0123456789;D;2021-02-28;98,09;R;2;R
0123456789;D;2021-02-27;91,32;R;-2;R
0123456789;D;2021-02-26;76,63;R;-7;R
0123456789;D;2021-02-25;71,34;R;-5;R
0123456789;D;2021-02-24;66,70;R;1;R
